实体名称	类型	重要性	文件数
股份资金部	组织	0.002	1
人力/财务部	组织	0.002	1
境内区域公司	地理位置	0.002	1
安全生产工作任务	类别	0.002	1
移动端	类别	0.002	2
安委会主任	人员	0.002	1
五落实	类别	0.002	1
职能部门	组织	0.002	1
资金部总经理	人员	0.002	1
公司领导	组织	0.002	1
安全生产分管领导	人员	0.002	1
拟稿提交	事件	0.002	1
高风险付款	类别	0.002	1
平台业务部门	组织	0.002	1
重大安全风险清单	类别	0.002	1
分管领导	人员	0.002	1
B309	类别	0.002	2
电子设备费用	类别	0.002	1
2007年1月1日	事件	0.002	1
沉淀利息	类别	0.002	1
重大安全风险	类别	0.002	1
固定资产购置	类别	0.002	1
《安全生产法》	类别	0.002	1
第三条	类别	0.002	2
异地平台资金管理规定	类别	0.002	1
安全风险分级管控办公室	组织	0.002	1
安委会副主任	人员	0.002	1
安全生产法	类别	0.002	1
公司相关规定	类别	0.002	2
额度内支付	类别	0.002	1
业务活动费	类别	0.002	1
董事会费用	类别	0.002	1
安全生产管理规定	类别	0.002	1
许总	人员	0.002	1
何董	人员	0.002	1
会务费	类别	0.002	1
邮电费	类别	0.002	1
平台财务负责人	人员	0.002	1
沉淀利息分摊	类别	0.002	1
资金管理规定	类别	0.002	1
管控能力	类别	0.002	1
督办人	人员	0.002	1
曾行丰	人员	0.002	1
OAITG.CN	组织	0.002	2
20230714初稿	事件	0.002	1
第九条	类别	0.002	1
橙	类别	0.002	1
第七条	类别	0.002	1
四色标示	类别	0.002	1
工资/福利费	类别	0.002	1
第一条	类别	0.002	2
资金日均余额	类别	0.002	1
第二条	类别	0.001	2
各单位安全生产分管领导	人员	0.001	1
对外投资	事件	0.001	1
岗位	组织	0.001	1
四级（红/橙/黄/蓝）	类别	0.001	1
集团总授信额度	类别	0.001	1
电子设备相关费用	类别	0.001	1
汽车费用	类别	0.001	1
危险源辨识及隐患排查	事件	0.001	1
国贸股份	组织	0.001	1
平台资金沉淀利息	类别	0.001	1
生产系统	类别	0.001	1
总部	组织	0.001	1
财务人员考评	类别	0.001	1
公司及下属单位	组织	0.001	1
远期金融产品	类别	0.001	1
纪凌腿	人员	0.001	2
第八条	类别	0.001	1
公司及下属经营单位	组织	0.001	1
国家、省、市及上级部门	地理位置	0.001	1
签发	事件	0.001	1
分级管控	类别	0.001	1
保证金	类别	0.001	1
重点工序	类别	0.001	1
每日危险源辨识及风险评估	事件	0.001	1
作业环境	类别	0.001	1
下属单位	组织	0.001	1
B309-股份发文线上发文流程	事件	0.001	1
国贸股份数字化管理部	组织	0.001	1
贷款卡年审	类别	0.001	1
税金	类别	0.001	1
厦国贸办[2023]048号1114	类别	0.001	1
资金部	组织	0.001	1
资金流管理系统	类别	0.001	1
会务费/诉讼费	类别	0.001	1
班组交接	事件	0.001	1
的士费	类别	0.001	1
生产一线负责人及岗位员工	人员	0.001	1
2023年10月3日	事件	0.001	1
2023年11月17日	事件	0.001	1
全员参与	类别	0.001	1
危险源辨识	事件	0.001	1
资金沉淀控制	类别	0.001	1
中华人民共和国安全生产法	类别	0.001	1
操作行为	类别	0.001	1
代理人	人员	0.001	1
主持人	人员	0.001	1
预算部	组织	0.001	1
重点环节	类别	0.001	1
重点场所	地理位置	0.001	1
区域公司	组织	0.001	1
较大危险因素的生产经营场所	地理位置	0.001	1
上级审批	事件	0.001	1
风险清单和数据库建设	类别	0.001	1
风险辨识	事件	0.001	1
异地银行帐户管理办法	类别	0.001	1
会稿审阅	事件	0.001	1
余励洁	人员	0.001	1
GB6441-86	类别	0.001	1
GB/T13861-2022	类别	0.001	1
清洁版文件	类别	0.001	1
《福建省安全生产条例》	类别	0.001	1
报销	类别	0.001	1
